Problem,Result,Time(s),Facility Status,Customer Status
p45,8551,3.394,1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 0 1 1 0 ,0 0 0 15 0 0 15 1 15 1 10 1 1 1 1 3 3 3 3 3 3 4 4 4 4 4 11 4 4 0 5 5 5 5 5 5 5 5 0 15 3 3 11 8 18 5 18 7 15 5 13 13 17 18 18 0 5 1 7 10 3 3 15 17 13 13 8 11 7 10 18 3 13 17 17 17 8 17 10 7 
p46,9201,2.1,0 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 ,28 29 29 29 29 1 29 12 1 1 1 11 11 8 1 3 19 3 14 3 3 14 5 5 5 5 13 13 13 8 8 8 13 13 29 3 3 5 24 28 29 12 19 29 24 14 18 18 29 18 29 27 13 11 24 14 13 18 18 14 18 19 28 18 14 27 14 13 19 12 
p47,6345,4.642,1 1 1 1 1 1 1 1 1 1 ,0 2 0 0 0 0 0 0 0 2 1 1 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 6 7 6 0 7 7 7 7 7 7 8 8 8 8 0 8 8 8 9 2 9 9 9 0 9 9 
p48,8059,3.46,0 1 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 ,17 1 1 1 4 4 1 1 4 3 4 3 3 3 1 5 4 4 5 4 5 5 5 5 5 9 9 5 5 5 9 9 9 8 9 8 8 8 9 8 9 8 11 11 11 11 8 11 13 17 13 13 13 12 12 16 16 12 16 12 17 16 16 16 16 16 16 17 17 17 17 17 17 19 19 19 19 19 19 19 
p49,8313,2.185,0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 ,6 1 2 4 1 1 6 4 4 4 4 4 2 7 4 6 7 7 7 6 7 7 15 6 9 9 9 12 12 15 15 20 20 15 15 15 18 12 15 18 20 12 20 20 18 19 18 20 23 18 23 18 2 23 23 23 23 23 19 28 19 28 19 1 1 28 1 28 28 28 
p50,9661,6.382,1 1 1 1 1 1 1 1 0 1 ,3 0 3 6 2 1 5 5 3 7 7 4 6 9 9 2 2 5 5 3 0 0 0 4 0 6 7 4 4 7 7 7 3 3 3 5 2 9 0 4 0 9 9 2 2 5 5 5 5 3 3 5 6 4 0 0 9 6 2 2 2 7 7 7 3 3 0 4 7 7 3 0 6 6 0 4 4 3 3 4 3 5 2 9 1 2 1 7 2 7 9 9 1 2 1 2 9 9 9 9 
p51,9289,6.614,1 1 1 0 0 1 1 0 0 0 1 0 1 1 1 1 0 0 1 1 ,19 6 19 10 18 13 5 2 1 1 5 14 12 13 6 13 12 5 2 15 0 0 10 14 14 14 15 19 19 19 5 1 19 19 15 5 13 13 10 10 0 6 13 13 12 5 5 2 5 19 1 5 0 14 10 10 6 6 18 12 13 5 1 5 15 15 10 19 1 1 15 0 0 0 10 19 19 19 19 19 19 5 12 12 18 13 6 2 12 1 13 13 13 18 18 13 13 13 13 13 
p52,10094,6.029,0 1 0 1 1 1 1 1 1 1 ,7 7 7 7 7 7 7 7 3 4 4 4 3 3 4 4 4 8 3 8 8 5 3 3 8 5 1 9 9 9 5 9 9 5 6 6 6 6 6 6 6 6 6 6 7 7 4 8 8 1 5 3 4 6 7 5 3 3 3 4 6 9 5 8 3 5 9 6 4 7 9 6 4 3 3 5 3 4 7 1 6 3 8 5 5 3 3 7 9 3 5 9 9 1 5 1 3 4 3 7 
p53,11256,6.06,0 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 ,5 5 6 5 5 5 5 6 19 7 19 7 19 7 7 7 7 3 13 12 12 13 12 12 3 15 15 9 9 15 15 15 15 9 18 18 18 18 18 18 18 18 18 18 6 6 19 12 12 9 15 3 6 17 5 15 3 3 1 6 18 9 15 12 3 13 9 5 6 5 17 18 6 3 3 15 3 6 6 9 18 19 13 15 15 3 3 6 15 3 15 9 17 17 15 17 1 7 1 5 
p54,9453,6.691,1 0 1 1 1 1 1 1 1 1 ,9 7 2 9 7 2 7 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 6 6 6 8 6 8 8 8 8 8 8 8 3 6 6 6 6 6 6 6 6 6 5 5 6 5 5 5 6 6 0 0 6 0 5 7 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4 4 9 4 9 9 9 9 9 
